Time_s,R_index,RR_interval_s,HR_BPM
162.841,20099,0.672,89.28571428571428
163.53,20183,0.672,89.28571428571428
164.189,20266,0.664,90.36144578313252
164.849,20349,0.664,90.36144578313252
165.494,20429,0.64,93.75
166.151,20512,0.664,90.36144578313252
166.847,20598,0.688,87.2093023255814
167.552,20686,0.704,85.22727272727273
168.266,20775,0.712,84.26966292134831
168.967,20864,0.712,84.26966292134831
169.697,20952,0.704,85.22727272727273
170.319,21032,0.64,93.75
170.96,21110,0.624,96.15384615384616
171.551,21187,0.616,97.40259740259741
172.183,21265,0.624,96.15384615384616
172.83,21346,0.648,92.5925925925926
173.473,21426,0.64,93.75
174.093,21504,0.624,96.15384615384616
174.695,21580,0.608,98.6842105263158
175.315,21656,0.608,98.6842105263158
175.904,21730,0.592,101.35135135135135
176.491,21803,0.584,102.73972602739727
177.096,21878,0.6,100.0
177.707,21955,0.616,97.40259740259741
178.348,22036,0.648,92.5925925925926
178.982,22114,0.624,96.15384615384616
179.606,22193,0.632,94.9367088607595
180.239,22272,0.632,94.9367088607595
180.901,22355,0.664,90.36144578313252
181.585,22440,0.68,88.23529411764706
182.233,22521,0.648,92.5925925925926
182.897,22603,0.656,91.46341463414633
183.567,22687,0.672,89.28571428571428
184.231,22770,0.664,90.36144578313252
184.857,22849,0.632,94.9367088607595
185.487,22927,0.624,96.15384615384616
186.114,23005,0.624,96.15384615384616
186.736,23083,0.624,96.15384615384616
187.379,23164,0.648,92.5925925925926
188.008,23242,0.624,96.15384615384616
188.624,23320,0.624,96.15384615384616
189.254,23398,0.624,96.15384615384616
189.876,23476,0.624,96.15384615384616
190.512,23554,0.624,96.15384615384616
191.124,23631,0.616,97.40259740259741
191.711,23705,0.592,101.35135135135135
192.297,23778,0.584,102.73972602739727
192.876,23850,0.576,104.16666666666667
193.442,23920,0.56,107.14285714285714
194.019,23989,0.552,108.69565217391303
194.537,24058,0.552,108.69565217391303
195.094,24127,0.552,108.69565217391303
195.638,24195,0.544,110.29411764705881
196.184,24264,0.552,108.69565217391303
196.723,24332,0.544,110.29411764705881
197.274,24399,0.536,111.94029850746269
